,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Олег Пендзин,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,False
Камал Харріс,2.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,0.0,2.0,5.0,3.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,29.0,0.0,1.0,19.0,0.0,0.0,0.0,5.0,64.0,False
Улян Супрун,0.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,38.0,5.0,0.0,8.0,1.0,1.0,64.0,False
Серг Кравченк,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,37.0,0.0,0.0,6.0,0.0,8.0,3.0,2.0,1.0,63.0,False
Андр Золотар,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,47.0,2.0,0.0,3.0,0.0,0.0,62.0,False
Алекс Якубин,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,2.0,17.0,0.0,25.0,2.0,0.0,3.0,2.0,0.0,61.0,False
Олекс Неїжпап,1.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,61.0,False
Геленджик,0.0,5.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,59.0,False
Рефат Чубар,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,7.0,3.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,11.0,19.0,0.0,2.0,0.0,0.0,58.0,False
Андр Павелк,1.0,8.0,4.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,2.0,2.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,False
Олександр Ярославськ,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,2.0,6.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,23.0,0.0,13.0,2.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,57.0,False
Алін Мустафаєв,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,57.0,False
Віктор Ющенк,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,4.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0,0.0,27.0,0.0,2.0,4.0,0.0,4.0,57.0,False
Денис Пушилін,1.0,3.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,55.0,False
Майкл Шервін,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,14.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,55.0,False
