,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Володимир Фесенк,0.0,20.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,11.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,78.0,False
Костянтин Богат,2.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,76.0,False
Оксан Маркаров,1.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,10.0,4.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,76.0,False
Олекс Кущ,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,1.0,0.0,66.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,75.0,False
Андр Шевчишин,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,13.0,0.0,6.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,False
Павел Глоб,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,False
Бен Ембарек,3.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,False
Джавад Заріф,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,8.0,0.0,3.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,72.0,False
Олександр Ярославськ,0.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,6.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,7.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,36.0,2.0,1.0,2.0,71.0,False
Рефат Чубар,1.0,4.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,4.0,0.0,4.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,9.0,3.0,1.0,3.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,2.0,0.0,8.0,0.0,0.0,71.0,False
